,XGBoost,LightGBM,CatBoost,SVR,KNN,ElasticNet,LSTM,Prophet,SARIMAX,TFT
2025-03-05,0.0,0.0,0.0,0.0,0.00497405189620759,0.0,0.0,0.5423952095808386,3.193612774451106e-05,0.45259880239521
2025-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544998003992016,0.0,0.455001996007984
2025-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483305389221557,0.0,0.5166946107784429
2025-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40944510978043935,0.0,0.5905548902195608
2025-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4146826347305389,0.0,0.5853173652694604
2025-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000004,0.0,0.5999999999999995
2025-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45420359281437084,0.0,0.5457964071856286
2025-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45871457085828343,0.0,0.5412854291417165
2025-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4760239520958085,0.0,0.5239760479041911
2025-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5096766467065865,0.0,0.4903233532934134
2025-03-15,0.0,0.027704590818363278,0.0,0.0,0.0,0.0,0.0,0.5443592814371263,0.0,0.4279361277445114
2025-03-16,0.0,0.07955289421157688,0.0,0.0,0.0,0.0,0.0,0.5453972055888224,0.0,0.3750499001996007
2025-03-17,0.0,0.0416367265469062,0.0,0.0,0.0,0.0,0.0,0.5651976047904191,0.0,0.3931656686626748
2025-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5785389221556889,0.0,0.4214610778443112
2025-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6120878243512974,0.0,0.3879121756487029
2025-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6305708582834335,0.0,0.3694291417165672
2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6433532934131738,0.0,0.3566467065868264
2025-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6257964071856292,0.05115369261477044,0.32304990019960106
2025-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608582834331337,0.0,0.3914171656686626
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5843033932135732,0.0,0.4156966067864272
2025-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6012455089820359,0.0,0.3987544910179643
2025-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6381077844311377,0.0,0.36189221556886225
2025-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6007185628742508,0.0,0.39928143712574843
